  ok   rcap-hi-custom-pleading · hi-first-time-drug-offender · canonical — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-marijuana-three-grams · canonical — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-pre-2004-drug-offender · canonical — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-first-time-property-offender · canonical — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-under-21-dui · canonical — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-first-time-drug-offender · boundary — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-marijuana-three-grams · boundary — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-pre-2004-drug-offender · boundary — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-first-time-property-offender · boundary — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written
  ok   rcap-hi-custom-pleading · hi-under-21-dui · boundary — ROUTE_PASS_COMPLETE — 3 component(s), 7/7 value(s) read back, 7/44 written

  10 route artifact(s) measured this run · 10 total · 10 ROUTE_PASS_COMPLETE
